stop_name,stop_id,line_id,arrival_delay,arrival_time_hour,result
"Meadowbank Station, Platform 2",2114182.0,T1,256.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,343.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,293.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,262.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,198.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,63.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,7.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,2.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,14.0,0
"West Ryde Station, Platform 3",2114193.0,T1,0.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,0.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,215.0,8.0,0
"West Ryde Station, Platform 3",2114193.0,T1,0.0,8.0,0
"West Ryde Station, Platform 3",2114193.0,T1,545.0,9.0,1
"West Ryde Station, Platform 3",2114193.0,T1,621.0,9.0,1
"West Ryde Station, Platform 3",2114193.0,T1,0.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,80.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,88.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,0.0,10.0,0
"West Ryde Station, Platform 3",2114193.0,T1,48.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,348.0,10.0,0
"West Ryde Station, Platform 3",2114193.0,T1,18.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,431.0,10.0,1
"West Ryde Station, Platform 3",2114193.0,T1,98.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,281.0,10.0,0
"West Ryde Station, Platform 3",2114193.0,T1,315.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,343.0,10.0,0
"West Ryde Station, Platform 3",2114193.0,T1,0.0,9.0,0
"West Ryde Station, Platform 3",2114193.0,T1,261.0,10.0,0
